method,model,n_features_selected,accuracy,precision,recall,f1,roc_auc,runtime_sec,peak_memory_kb
AFSE-Base (MI only),LogisticRegression,3,0.9064327485380117,0.9174311926605505,0.9345794392523364,0.9259259259259259,0.9709404205607477,0.011923324000008506,47.962890625
AFSE-Base (MI only),RandomForest,3,0.8947368421052632,0.9009009009009009,0.9345794392523364,0.9174311926605505,0.9679468457943925,1.912158801000004,302.16015625
AFSE-Base (MI only),SVM,3,0.9181286549707602,0.918918918918919,0.9532710280373832,0.9357798165137615,0.9668516355140186,0.014852130000008401,31.5595703125
AFSE-Base (MI only),GradientBoosting,3,0.8888888888888888,0.8928571428571429,0.9345794392523364,0.91324200913242,0.9674357476635513,0.3406577679999998,93.2392578125
AFSE-R (MI+RF),LogisticRegression,3,0.9298245614035088,0.9439252336448598,0.9439252336448598,0.9439252336448598,0.9788259345794392,0.012059321000009504,48.296875
AFSE-R (MI+RF),RandomForest,3,0.9239766081871345,0.9351851851851852,0.9439252336448598,0.9395348837209302,0.9767085280373832,1.9258424250000132,302.890625
AFSE-R (MI+RF),SVM,3,0.935672514619883,0.9444444444444444,0.9532710280373832,0.9488372093023256,0.9842289719626168,0.012080986000000848,31.6044921875
AFSE-R (MI+RF),GradientBoosting,3,0.9064327485380117,0.9252336448598131,0.9252336448598131,0.9252336448598131,0.9700642523364487,0.3530271919999848,102.2822265625
AFSE-RL (MI+RF+LASSO),LogisticRegression,3,0.9298245614035088,0.9439252336448598,0.9439252336448598,0.9439252336448598,0.9798481308411215,0.012133824000017057,47.693359375
AFSE-RL (MI+RF+LASSO),RandomForest,3,0.9122807017543859,0.9259259259259259,0.9345794392523364,0.9302325581395349,0.9736419392523364,1.9467585719999931,303.2626953125
AFSE-RL (MI+RF+LASSO),SVM,3,0.9181286549707602,0.9428571428571428,0.9252336448598131,0.9339622641509434,0.9848130841121495,0.011764725999995562,31.6494140625
AFSE-RL (MI+RF+LASSO),GradientBoosting,3,0.9005847953216374,0.9245283018867925,0.9158878504672897,0.92018779342723,0.9753942757009346,0.3332896510000012,101.8828125
AFSE-Full (all modules),LogisticRegression,3,0.9298245614035088,0.9439252336448598,0.9439252336448598,0.9439252336448598,0.9798481308411215,0.012057249999998021,47.9072265625
AFSE-Full (all modules),RandomForest,3,0.9122807017543859,0.9259259259259259,0.9345794392523364,0.9302325581395349,0.9736419392523364,1.9707164440000042,302.35546875
AFSE-Full (all modules),SVM,3,0.9181286549707602,0.9428571428571428,0.9252336448598131,0.9339622641509434,0.9848130841121495,0.014157157999989067,31.556640625
AFSE-Full (all modules),GradientBoosting,3,0.9005847953216374,0.9245283018867925,0.9158878504672897,0.92018779342723,0.9753942757009346,0.3521308019999765,98.4033203125
